Name,Found Name,Website,Cuisine,Location,Cost,Notes,Google Rating,Yelp Rating
kyu kaku bbq and bar,Gyu-Kaku Japanese BBQ,http://www.gyu-kaku.com/,"Japanese, Barbeque, Asian Fusion",Manhattan,$$,,4.4,4.0
taj kebab king,Taj Kabab King,https://tajkababtogo.com/,Indian,Brooklyn,$,,4.1,3.5
teriyaki boy,Glaze Teriyaki,https://www.glaze.com/locations/new-york-city-midtown-east,"Japanese, Sushi Bars",Manhattan,$$,,4.1,3.5
aji sushi and hibachi,Aji Sushi,,"Sushi Bars, Japanese",Manhattan,$$,,4.7,4.0
osaka sushi and steak house,Osaka,https://www.osakany.com/,"Japanese, Sushi Bars, Steakhouses",Brooklyn,$$,,4.5,4.0
beijing chinese famous restaurant,Beijing,,Chinese,Manhattan,$,,3.2,4.0
chelsea papaya,Chelsea Papaya,https://www.chelseapapayamenu.com/?utm_source=gbp,"Hot Dogs, American (Traditional), Breakfast & Brunch",Manhattan,$,,4.1,3.5
yubu,YUBU,http://www.yubu.nyc/,Korean,Manhattan,$,,4.6,4.5
shero cakes,Shero Cafe,,"Patisserie/Cake Shop, Custom Cakes, Desserts",Queens,$$,,3.9,4.0
des toros,Dos Toros Taqueria,https://www.dostoros.com/,Mexican,Manhattan,$,,4.2,3.5
masala times greenwich,Masala Times Greenwich Village,https://www.masalatimesgreenwichvillage.com/,"Indian, Comfort Food, Halal",Manhattan,$,,4.2,4.0
flippers nycmiyabi sushi,Flipper's,https://www.flippersus.com/,,Manhattan,$$,,4.2,
harada sushi,RA Sushi Bar Restaurant Times Square,https://rasushi.com/locations/times-square-ny/,"Japanese, Sushi Bars",Manhattan,$$,,4.2,4.5
china wok,China Wok,,"Chinese, Fast Food",Manhattan,$,,3.5,2.0
hawkers,Hawkers,http://www.hawkersny.com/?utm_source=gmb&utm_medium=website,"Asian Fusion, Burgers, Beer Bar",Manhattan,$$,,2.2,3.0
nara sushi 86,Nara Sushi/ Kumo 奈良,http://narasushi76.com/,,Manhattan,,,4.3,
fuzhou anping chinese restaurant,Fuzhou Anping Fish Ball,,,Manhattan,,,3.7,
fresca mexican kitchen,Fresca Tortilla,https://frescatortillany.com/,Mexican,Queens,$,,4.1,1.5
yamitsuki ramen,Yama Ramen,http://yamaramen.com/,"Ramen, Sushi Bars, Cocktail Bars",Manhattan,$$,,4.2,3.5
enoki sushi,New Mizu Sushi,https://ordernewmizusushi.com/,"Sushi Bars, Food Delivery Services",Manhattan,,,4.3,3.0
great wall and asian cuisine,Great Wall,,"Food Delivery Services, Chinese, Noodles",Manhattan,$,,4.2,1.5
wei west,Wei West,https://weiwestnyc.com/,"Asian Fusion, Japanese, Chinese",Manhattan,$$,,4.0,3.0
nori sushi ny,Nami Nori,http://naminori.nyc/,"Japanese, Asian Fusion, Food Delivery Services",Manhattan,,,4.5,3.5
amber sushi and thai,Amber,http://amberwv.com/,"Sushi Bars, Asian Fusion, Cocktail Bars",Manhattan,$$,,4.4,4.0
bayard sushi,Bayard Sushi,https://www.bayardsushinewyork.com/,"Sushi Bars, Japanese",Manhattan,$$,,4.3,3.5
kumo sushi,Kumo Sushi,http://www.kumosushiny.com/,"Japanese, Sushi Bars",Manhattan,$$,,3.5,3.0
royal siam,Royal Siam,http://www.newyorkroyalsiam.com/,Restaurants,Manhattan,$$,,4.0,4.0
taco haus,The Little Taco House,,"Food Delivery Services, Mexican",Manhattan,,,4.7,3.0
new red house,Red House,http://redhousenyc.com/,Chinese,Manhattan,$$,,3.3,2.5
nyc falafel coshanghai 21,NYC Falafel Co,http://www.nycfalafel.net/,,Manhattan,$,,4.6,
champs gourmet deli,Champs Gourmet Deli,http://www.champsdelinyc.com/,"Delis, Bagels, Sandwiches",Manhattan,$,,4.4,3.5
le pain quotidien,Le Pain Quotidien,,"Brasseries, Bakeries, Breakfast & Brunch",Manhattan,$$,,4.2,3.0
cocu,Cocu,https://www.cocu.nyc/,"Chicken Shop, Fast Food, Chicken Wings",Manhattan,$,,4.5,4.0
cafedelia,CafeDelia,http://www.cafedelia.com/,"Georgian, Desserts, Soup",Manhattan,,,5.0,5.0
nish nush,Nish Nush,https://nishnushnyc.com/,"Vegetarian, Moroccan, Greek",Manhattan,$,,4.5,4.5
